"","key","value","x","country"
"1","schools_universities",2020-03-13,3.3,"Denmark"
"2","self_isolating_if_ill",2020-03-12,3.3,"Denmark"
"3","public_events",2020-03-12,3,"Denmark"
"4","lockdown",2020-03-18,3.3,"Denmark"
"5","social_distancing_encouraged",2020-03-13,3,"Denmark"
"6","schools_universities",2020-03-05,3.3,"Italy"
"7","self_isolating_if_ill",2020-03-09,3.3,"Italy"
"8","public_events",2020-03-09,3,"Italy"
"9","lockdown",2020-03-11,3.3,"Italy"
"10","social_distancing_encouraged",2020-03-09,2.7,"Italy"
"11","schools_universities",2020-03-14,4.3,"Germany"
"12","self_isolating_if_ill",2020-03-06,4.3,"Germany"
"13","public_events",2020-03-22,4.3,"Germany"
"14","lockdown",2020-03-22,4,"Germany"
"15","social_distancing_encouraged",2020-03-12,4.3,"Germany"
"16","schools_universities",2020-03-13,4.3,"Spain"
"17","self_isolating_if_ill",2020-03-17,4.3,"Spain"
"18","public_events",2020-03-14,4.3,"Spain"
"19","lockdown",2020-03-14,4,"Spain"
"20","social_distancing_encouraged",2020-03-09,4.3,"Spain"
"21","schools_universities",2020-03-21,3.3,"United_Kingdom"
"22","self_isolating_if_ill",2020-03-12,3.3,"United_Kingdom"
"23","public_events",2020-03-24,3.3,"United_Kingdom"
"24","lockdown",2020-03-24,3,"United_Kingdom"
"25","social_distancing_encouraged",2020-03-16,3.3,"United_Kingdom"
"26","schools_universities",2020-03-14,4.3,"France"
"27","self_isolating_if_ill",2020-03-16,4.3,"France"
"28","public_events",2020-03-13,4.3,"France"
"29","lockdown",2020-03-17,4.3,"France"
"30","social_distancing_encouraged",2020-03-16,4,"France"
"31","schools_universities",2020-03-13,5.3,"Norway"
"32","self_isolating_if_ill",2020-03-15,5.3,"Norway"
"33","public_events",2020-03-12,5.3,"Norway"
"34","lockdown",2020-03-24,5.3,"Norway"
"35","social_distancing_encouraged",2020-03-16,5.3,"Norway"
"36","schools_universities",2020-03-14,3.3,"Belgium"
"37","self_isolating_if_ill",2020-03-10,3.3,"Belgium"
"38","public_events",2020-03-12,3.3,"Belgium"
"39","lockdown",2020-03-18,3.3,"Belgium"
"40","social_distancing_encouraged",2020-03-14,3,"Belgium"
"41","schools_universities",2020-03-14,4.3,"Austria"
"42","self_isolating_if_ill",2020-03-16,4.3,"Austria"
"43","public_events",2020-03-10,4.3,"Austria"
"44","lockdown",2020-03-16,4,"Austria"
"45","social_distancing_encouraged",2020-03-16,3.7,"Austria"
"46","schools_universities",2090-03-17,4.3,"Sweden"
"47","self_isolating_if_ill",2020-03-10,4.3,"Sweden"
"48","public_events",2020-03-29,4.3,"Sweden"
"49","lockdown",2090-03-17,4,"Sweden"
"50","social_distancing_encouraged",2020-03-16,4.3,"Sweden"
"51","schools_universities",2020-03-14,3.3,"Switzerland"
"52","self_isolating_if_ill",2020-03-02,3.3,"Switzerland"
"53","public_events",2020-03-13,3.3,"Switzerland"
"54","lockdown",2020-03-20,3.3,"Switzerland"
"55","social_distancing_encouraged",2020-03-16,3.3,"Switzerland"
"56","schools_universities",2020-03-11,4.3,"Greece"
"57","self_isolating_if_ill",2020-03-09,4.3,"Greece"
"58","public_events",2020-03-19,4.3,"Greece"
"59","lockdown",2020-03-23,4.3,"Greece"
"60","social_distancing_encouraged",2020-03-16,4.3,"Greece"
"61","schools_universities",2020-03-14,3.3,"Portugal"
"62","self_isolating_if_ill",2020-03-19,3.3,"Portugal"
"63","public_events",2020-03-12,3.3,"Portugal"
"64","lockdown",2020-03-22,3.3,"Portugal"
"65","social_distancing_encouraged",2020-03-12,3,"Portugal"
"66","schools_universities",2020-03-14,4.3,"Netherlands"
"67","self_isolating_if_ill",2020-03-12,4.3,"Netherlands"
"68","public_events",2020-03-12,4,"Netherlands"
"69","lockdown",2020-03-23,4.3,"Netherlands"
"70","social_distancing_encouraged",2020-03-12,3.7,"Netherlands"
