"countries","value"
"Denmark","50.16% [0.00%-93.68%]"
"Italy","53.27% [17.94%-58.66%]"
"Germany","20.93% [4.08%-86.08%]"
"Spain","40.44% [0.55%-67.58%]"
"United_Kingdom","52.45% [25.18%-71.72%]"
"France","39.75% [10.34%-69.72%]"
"Norway","53.00% [0.00%-99.77%]"
"Belgium","51.45% [25.85%-58.23%]"
"Austria","18.08% [2.35%-38.72%]"
"Sweden","16.66% [0.31%-82.96%]"
"Switzerland","18.93% [0.00%-46.69%]"
"Greece","16.21% [0.69%-88.53%]"
"Portugal","19.33% [0.01%-48.97%]"
"Netherlands","24.37% [0.00%-98.12%]"
